"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:450","Andy Lamb",NA,"","1985-08-02",1985,8,2,"HumanObservation","Skipjack Island, outer face",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,65,NA,"present","","",NA,"","native","unlisted","",NA,"","","Aplidium californicum","","",112
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1168","Andy Lamb",NA,"","1994-10-07",1994,10,7,"HumanObservation","Lion Islet",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,90,NA,"present","","Count: few",NA,"","native","unlisted","",NA,"","","Aplidium californicum","","",135
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:5620","Andy Lamb",NA,"","2007-12-29",2007,12,29,"HumanObservation","Rolling Ridge",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,55,NA,"present","","Count: few",NA,"","native","unlisted","",NA,"","","Aplidium californicum","","",242
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:6811","Andy Lamb",NA,"","2008-04-27",2008,4,27,"HumanObservation","Mathews Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,89,NA,"present","","Count: many",NA,"","native","unlisted","",NA,"","","Aplidium californicum","","",43
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:7079","Andy Lamb",NA,"","2008-05-30",2008,5,30,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,54,NA,"present","","Count: some",NA,"","native","unlisted","",NA,"","","Aplidium californicum","","",347
"Aplidium californicum","(Ritter & Forsyth, 1917)",131232,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"californicum","","species","","","","iNaturalist","iNat:168028266","",NA,"","2023-06-17",2023,6,17,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",8,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",105
"Aplidium kottae","Brunetti, 2007",195372,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"kottae","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:343","Andy Lamb",NA,"","1985-07-29",1985,7,29,"HumanObservation","Virago Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,75,NA,"present","","",NA,"","native","unlisted","",NA,"","","Aplidium kottae","","",392
"Aplidium kottae","Brunetti, 2007",195372,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"kottae","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:542","Andy Lamb",NA,"","1985-12-07",1985,12,7,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,70,NA,"present","","",NA,"","native","unlisted","",NA,"","","Aplidium kottae","","",392
"Aplidium kottae","Brunetti, 2007",195372,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"kottae","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:827","Charlie Gibbs",NA,"","1994-02-26",1994,2,26,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,79,NA,"present","","",NA,"","native","unlisted","",NA,"","","Aplidium kottae","","",392
"Aplidium kottae","Brunetti, 2007",195372,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polyclinidae","Aplidium",NA,"kottae","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:905","Charlie Gibbs",NA,"","1994-02-26",1994,2,26,"HumanObservation","Race Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,60,NA,"present","","",NA,"","native","unlisted","",NA,"","","Aplidium kottae","","",416
